"","2020-01-16","2020-01-17","2020-01-18","2020-01-19","2020-01-20","2020-01-21","2020-01-22","2020-01-23","2020-01-24","2020-01-25","2020-01-26","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-01","2020-02-02","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-08","2020-02-09","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-27","2020-06-28","2020-06-29","2020-06-30","2020-07-01","2020-07-02","2020-07-03","2020-07-04","2020-07-05","2020-07-06","2020-07-07","2020-07-08","2020-07-09","2020-07-10","2020-07-11","2020-07-12","2020-07-13","2020-07-14","2020-07-15","2020-07-16","2020-07-17","2020-07-18","2020-07-19","2020-07-20","2020-07-21","2020-07-22","2020-07-23","2020-07-24","2020-07-25","2020-07-26","2020-07-27","2020-07-28","2020-07-29","2020-07-30","2020-07-31","2020-08-01","2020-08-02","2020-08-03","2020-08-04","2020-08-05","2020-08-06","2020-08-07","2020-08-08","2020-08-09","2020-08-10","2020-08-11","2020-08-12","2020-08-13","2020-08-14","2020-08-15","2020-08-16","2020-08-17","2020-08-18","2020-08-19","2020-08-20","2020-08-21","2020-08-22","2020-08-23","2020-08-24","2020-08-25","2020-08-26","2020-08-27","2020-08-28","2020-08-29","2020-08-30","2020-08-31","2020-09-01","2020-09-02","2020-09-03","2020-09-04","2020-09-05","2020-09-06","2020-09-07","2020-09-08","2020-09-09","2020-09-10","2020-09-11","2020-09-12","2020-09-13","2020-09-14","2020-09-15","2020-09-16","2020-09-17","2020-09-18","2020-09-19","2020-09-20","2020-09-21","2020-09-22","2020-09-23","2020-09-24","2020-09-25","2020-09-26","2020-09-27","2020-09-28","2020-09-29","2020-09-30","2020-10-01","2020-10-02","2020-10-03","2020-10-04","2020-10-05","2020-10-06","2020-10-07","2020-10-08","2020-10-09","2020-10-10","2020-10-11","2020-10-12","2020-10-13","2020-10-14","2020-10-15","2020-10-16","2020-10-17","2020-10-18","2020-10-19","2020-10-20","2020-10-21","2020-10-22","2020-10-23","2020-10-24","2020-10-25","2020-10-26","2020-10-27","2020-10-28","2020-10-29","2020-10-30","2020-10-31","2020-11-01","2020-11-02","2020-11-03","2020-11-04","2020-11-05","2020-11-06","2020-11-07","2020-11-08","2020-11-09","2020-11-10","2020-11-11","2020-11-12","2020-11-13","2020-11-14","2020-11-15","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-21","2020-11-22","2020-11-23","2020-11-24","2020-11-25","2020-11-26","2020-11-27","2020-11-28","2020-11-29","2020-11-30","2020-12-01","2020-12-02","2020-12-03","2020-12-04","2020-12-05","2020-12-06","2020-12-07","2020-12-08","2020-12-09","2020-12-10","2020-12-11","2020-12-12","2020-12-13","2020-12-14","2020-12-15","2020-12-16","2020-12-17","2020-12-18","2020-12-19","2020-12-20","2020-12-21","2020-12-22","2020-12-23","2020-12-24","2020-12-25","2020-12-26","2020-12-27","2020-12-28","2020-12-29","2020-12-30","2020-12-31","2021-01-01","2021-01-02","2021-01-03","2021-01-04","2021-01-05","2021-01-06","2021-01-07","2021-01-08","2021-01-09","2021-01-10","2021-01-11","2021-01-12","2021-01-13","2021-01-14","2021-01-15","2021-01-16","2021-01-17","2021-01-18","2021-01-19","2021-01-20","2021-01-21","2021-01-22","2021-01-23","2021-01-24","2021-01-25","2021-01-26","2021-01-27","2021-01-28","2021-01-29","2021-01-30","2021-01-31","2021-02-01","2021-02-02","2021-02-03","2021-02-04","2021-02-05","2021-02-06","2021-02-07","2021-02-08","2021-02-09","2021-02-10","2021-02-11","2021-02-12","2021-02-13","2021-02-14","2021-02-15","2021-02-16","2021-02-17","2021-02-18","2021-02-19","2021-02-20","2021-02-21","2021-02-22","2021-02-23","2021-02-24","2021-02-25","2021-02-26","2021-02-27","2021-02-28","2021-03-01","2021-03-02","2021-03-03","2021-03-04","2021-03-05","2021-03-06","2021-03-07","2021-03-08","2021-03-09","2021-03-10","2021-03-11","2021-03-12","2021-03-13","2021-03-14","2021-03-15","2021-03-16","2021-03-17","2021-03-18","2021-03-19","2021-03-20","2021-03-21","2021-03-22","2021-03-23","2021-03-24","2021-03-25","2021-03-26","2021-03-27","2021-03-28","2021-03-29","2021-03-30","2021-03-31","2021-04-01","2021-04-02","2021-04-03","2021-04-04","2021-04-05","2021-04-06","2021-04-07","2021-04-08","2021-04-09","2021-04-10","2021-04-11","2021-04-12","2021-04-13","2021-04-14","2021-04-15","2021-04-16","2021-04-17","2021-04-18","2021-04-19","2021-04-20","2021-04-21","2021-04-22","2021-04-23","2021-04-24","2021-04-25","2021-04-26","2021-04-27","2021-04-28","2021-04-29","2021-04-30","2021-05-01","2021-05-02","2021-05-03","2021-05-04","2021-05-05","2021-05-06","2021-05-07","2021-05-08","2021-05-09","2021-05-10","2021-05-11","2021-05-12","2021-05-13","2021-05-14","2021-05-15","2021-05-16","2021-05-17","2021-05-18","2021-05-19","2021-05-20","2021-05-21","2021-05-22","2021-05-23","2021-05-24","2021-05-25","2021-05-26","2021-05-27","2021-05-28","2021-05-29","2021-05-30","2021-05-31","2021-06-01","2021-06-02","2021-06-03","2021-06-04","2021-06-05","2021-06-06","2021-06-07","2021-06-08","2021-06-09","2021-06-10","2021-06-11","2021-06-12","2021-06-13","2021-06-14","2021-06-15","2021-06-16","2021-06-17","2021-06-18","2021-06-19","2021-06-20","2021-06-21","2021-06-22","2021-06-23","2021-06-24","2021-06-25","2021-06-26","2021-06-27","2021-06-28","2021-06-29","2021-06-30","2021-07-01","2021-07-02","2021-07-03","2021-07-04","2021-07-05","2021-07-06","2021-07-07","2021-07-08","2021-07-09","2021-07-10","2021-07-11","2021-07-12","2021-07-13","2021-07-14","2021-07-15","2021-07-16","2021-07-17","2021-07-18","2021-07-19","2021-07-20","2021-07-21","2021-07-22","2021-07-23","2021-07-24","2021-07-25","2021-07-26","2021-07-27","2021-07-28","2021-07-29","2021-07-30","2021-07-31","2021-08-01","2021-08-02","2021-08-03","2021-08-04","2021-08-05","2021-08-06","2021-08-07","2021-08-08","2021-08-09","2021-08-10","2021-08-11","2021-08-12","2021-08-13","2021-08-14","2021-08-15","2021-08-16","2021-08-17","2021-08-18","2021-08-19","2021-08-20","2021-08-21","2021-08-22","2021-08-23","2021-08-24","2021-08-25","2021-08-26","2021-08-27","2021-08-28","2021-08-29","2021-08-30","2021-08-31"
"0.05",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,4,5,5,6,9,8,9,7,8,9,11,12,11,15,17,18,21,21,35,39,37,40,44,50,52,56,64,67,71,71,82,80,82,83,84,81,75,75,74,69,68,63,62,62,58,57,51,51,51,46,47,39,38,46,42,40,36,35,37,37,35,34,35,39,41,46,48,46,45,49,46,47,42,44,47,48,46,48,49,50,45,44,45,52,53,55,55,54,46,49,50,50,49,42,41,40,45,49,51,46,41,43,44,36,36,38,35,37,35,32,35,38,37,33,33,30,28,31,29,27,32,36,37,31,31,33,33,34,34,34,31,33,31,35,25,29,28,26,25,24,28,32,25,30,31,31,32,35,35,39,41,40,34,37,32,35,36,33,36,30,27,33,35,30,25,24,26,29,23,28,23,27,26,27,27,25,29,33,31,30,21,20,20,19,18,23,24,19,24,25,25,26,24,26,26,25,24,26,26,29,29,25,31,31,29,28,30,32,29,31,32,30,31,28,28,29,31,33,35,41,35,37,36,37,39,40,40,43,42,42,44,44,42,43,44,47,46,45,46,40,36,37,41,42,48,49,49,44,49,51,49,50,51,50,45,49,50,49,43,44,44,41,45,41,42,46,46,39,36,36,36,42,41,40,42,43,40,39,39,37,38,38,36,38,41,41,40,42,45,46,42,47,47,45,46,41,39,42,41,37,41,44,44,45,47,53,52,53,56,61,62,58,58,62,56,51,47,47,50,53,55,54,51,49,47,46,47,44,43,35,37,34,38,41,38,36,38,36,38,40,35,38,36,38,40,37,33,35,35,39,40,39,44,43,42,39,48,48,50,50,43,41,41,39,44,45,42,38,40,46,46,44,45,41,44,38,39,53,51,52,45,43,43,43,45,44,45,45,40,43,45,48,44,42,43,39,38,34,39,42,39,41,40,39,39,39,36,39,39,45,44,43,42,44,44,41,38,41,41,42,47,43,42,41,38,43,46,40,40,40,42,38,33,39,40,47,48,47,43,44,42,43,43,53,45,48,50,56,48,50,48,47,45,43,46,44,43,49,47,39,48,47,51,50,47,43,42,46,45,46,44,48,45,47,47,50,50,53,53,52,48,51,55,58,57,55,53,54,53,53,55,57,59,53,54,60,59,57,62,63,62,54,60,59,56,52,46,46,41,46,43,46,47,48,45,45,48,46,57,53,52,47,51,52,54,59,60,54,58,56,59,56,54,54,53,53,55,52,53,60,54,50,53,57,55,51,46,49,41,38,45,41,44,47,48,48,41,50,54
"0.01",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,3,3,1,1,1,1,3,3,3,5,3,4,4,4,6,6,5,4,5,5,7,6,12,15,18,25,29,30,33,34,34,44,46,50,55,57,59,60,64,67,64,64,64,65,60,57,53,53,51,49,42,41,37,37,40,35,31,30,27,29,32,30,30,29,27,28,27,29,32,32,32,32,33,33,35,35,30,33,33,33,32,32,33,33,37,37,37,33,37,41,47,43,40,41,35,37,33,33,35,31,25,27,26,31,34,38,36,34,30,31,30,27,29,29,28,26,27,26,23,24,24,23,19,19,20,16,15,20,22,25,22,21,25,25,26,22,24,21,21,19,18,20,22,20,16,17,20,17,16,19,21,18,23,18,19,18,23,23,27,23,23,23,18,22,23,21,21,21,19,20,19,18,20,18,18,17,21,18,15,16,16,17,18,18,18,20,18,12,12,13,12,13,13,14,17,15,10,12,10,10,14,13,14,13,14,18,19,15,12,17,15,16,15,15,17,19,23,22,24,23,21,25,27,24,19,20,24,27,29,28,29,27,28,32,36,35,30,32,34,35,36,37,36,37,38,36,35,36,37,38,38,38,38,39,37,38,38,37,40,39,37,36,39,37,33,36,33,32,31,34,35,34,33,32,27,32,31,32,32,34,27,28,29,34,33,30,29,27,24,28,32,35,36,33,34,35,38,36,41,42,36,35,34,30,31,29,27,30,32,36,36,34,41,39,45,42,38,44,39,43,43,40,42,35,35,36,39,38,39,36,38,33,36,36,29,27,25,25,27,27,26,25,26,25,27,29,29,32,34,34,31,29,31,28,32,31,32,33,32,33,30,29,32,38,40,36,33,33,31,34,33,30,31,31,32,29,27,28,28,27,29,28,28,33,34,33,34,30,33,30,35,36,37,35,32,32,30,30,32,29,31,29,26,30,29,26,29,27,29,31,30,30,30,30,33,34,33,35,31,29,29,29,30,30,30,33,31,34,33,34,34,34,30,32,33,31,30,30,28,27,31,32,37,34,34,33,36,37,35,34,35,36,39,34,35,34,32,33,29,31,30,33,31,34,30,29,27,27,29,32,35,37,34,34,36,39,37,37,34,35,37,33,38,38,39,41,42,42,43,44,43,45,40,40,43,42,41,38,43,45,43,45,43,44,48,50,49,46,41,39,43,42,39,40,36,37,35,37,39,37,41,39,37,36,36,41,40,41,44,43,39,38,41,37,43,45,45,44,40,39,45,46,45,45,43,44,43,45,47,47,41,37,38,35,30,34,32,34,37,35,32,32,30,34,32
"0.001",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,2,3,4,4,3,3,3,3,2,2,4,5,7,6,10,18,21,24,26,28,30,36,39,44,49,53,49,53,52,56,53,53,51,50,45,41,41,38,31,30,29,30,30,27,26,21,20,18,22,24,24,21,20,21,24,22,20,21,23,25,22,22,19,21,23,21,25,19,20,20,23,25,24,23,21,25,26,25,24,27,23,25,28,26,22,20,22,21,20,19,20,20,21,22,28,26,23,23,23,21,22,19,21,18,17,11,13,14,13,15,13,12,10,12,13,12,13,15,18,18,19,17,16,17,15,15,15,15,14,16,12,8,7,10,12,12,10,10,10,10,11,12,12,13,14,14,12,17,14,11,12,13,15,15,17,14,12,12,11,14,12,11,12,7,8,10,10,12,12,11,9,11,10,10,10,11,9,11,9,9,11,11,9,8,5,4,2,3,4,5,9,9,7,7,8,7,8,8,9,10,11,11,11,11,13,15,18,18,19,18,16,18,17,16,16,18,22,20,21,24,22,22,21,21,23,23,25,24,25,29,28,29,32,32,35,32,33,33,33,35,32,32,30,33,33,32,32,32,31,31,32,33,28,26,25,25,28,30,27,22,21,24,23,24,28,25,22,21,23,22,24,24,21,21,19,19,20,19,21,23,23,25,25,26,24,24,26,28,30,28,27,24,23,22,25,22,26,27,28,26,26,32,32,33,27,29,29,27,25,29,30,25,23,24,28,30,29,27,25,27,24,27,23,24,22,22,18,16,18,18,19,18,20,20,22,23,22,27,27,24,23,21,19,24,23,25,26,23,17,19,22,20,26,25,25,22,20,16,19,20,23,23,18,20,17,19,18,14,15,18,16,14,19,18,23,20,22,27,24,27,27,30,24,23,21,21,18,19,19,22,23,21,24,21,19,19,20,23,24,24,22,20,19,23,27,26,24,23,23,22,25,24,22,20,21,20,21,21,23,24,25,25,22,26,24,20,20,21,22,22,24,26,22,23,23,28,28,28,25,24,26,28,29,28,28,25,24,27,27,27,27,25,25,21,20,19,20,29,26,24,26,24,26,25,26,27,25,23,25,26,25,30,29,29,26,28,29,33,31,30,28,27,28,27,24,25,30,29,33,34,33,36,35,33,35,31,33,32,33,32,33,32,31,30,30,30,28,26,27,28,24,27,29,28,25,26,28,26,27,29,29,28,33,37,34,34,32,30,37,38,40,37,38,38,35,37,29,28,29,29,27,23,23,23,25,26,25,25,26,26,26,26,27
